Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Markapuram,111,KANDULA NARAYANA REDDY,Telugu Desami,ANNA RAMBABU,"Yuvajana Sramika Rythu Congress Party
i",13979,19/19,Result Declared
Mummidivaram,43,DATLA SUBBARAJU (BUCHIBABU),Telugu Desami,PONNADA VENKATA SATISH KUMAR,"Yuvajana Sramika Rythu Congress Party
i",38736,20/20,Result Declared
Mydukur,133,SUDHAKAR PUTTA,Telugu Desami,RAGHURAMI REDDY SETTIPALLY,"Yuvajana Sramika Rythu Congress Party
i",20950,21/21,Result Declared
Mylavaram,82,VASANTHA VENKATA KRISHNA PRASAD,Telugu Desami,TIRAPATHIRAO SARNALA,"Yuvajana Sramika Rythu Congress Party
i",42829,22/22,Result Declared
Nagari,170,GALI BHANU PRAKASH,Telugu Desami,R.K. ROJA,"Yuvajana Sramika Rythu Congress Party
i",45004,18/18,Result Declared
Nandigama (SC),83,TANGIRALA SOWMYA,Telugu Desami,MONDITOKA JAGAN MOHAN RAO,"Yuvajana Sramika Rythu Congress Party
i",27395,17/17,Result Declared
Nandikotkur (SC),136,G JAYASURYA,Telugu Desami,DARA SUDHEER,"Yuvajana Sramika Rythu Congress Party
i",9792,27/27,Result Declared
Nandyal,139,NASYAM MOHAMMED FAROOK,Telugu Desami,SILPA RAVI CHANDRA KISHORE REDDY,"Yuvajana Sramika Rythu Congress Party
i",12333,21/21,Result Declared
Narasannapeta,8,BAGGU RAMANAMURTHY,Telugu Desami,KRISHNADAS DHARMANA,"Yuvajana Sramika Rythu Congress Party
i",29371,21/21,Result Declared
Narasapuram,58,BOMMIDI NARAYANA NAYAKAR,Janasena Partyi,NAGARAJA VARA PRASADA RAJU MUDUNURI,"Yuvajana Sramika Rythu Congress Party
i",49738,13/13,Result Declared
Narasaraopet,97,ARAVINDA BABU CHADALAVADA,Telugu Desami,GOPIREDDY SRINIVASA REDDY,"Yuvajana Sramika Rythu Congress Party
i",19705,18/18,Result Declared
