Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Bhandaripokhari,43,SANJIB KUMAR MALLICK,Biju Janata Dali,NIRANJAN PATNAIK,"Indian National Congress
i",1551,20/20,Result Declared
Bhanjanagar,123,PRADYUMNA KUMAR NAYAK,Bharatiya Janata Partyi,BIKRAM KESHARI ARUKHA,"Biju Janata Dal
i",16324,19/19,Result Declared
Bhatli,5,IRASIS ACHARYA,Bharatiya Janata Partyi,SUSANTA SINGH,"Biju Janata Dal
i",27892,22/22,Result Declared
Bhawanipatna,80,SAGAR CHARAN DAS,Indian National Congressi,PRADIPTA KUMAR NAIK,"Bharatiya Janata Party
i",13741,21/21,Result Declared
Bhograi,36,GOUTAM BUDDHA DAS,Biju Janata Dali,SATYA SHIBA DAS,"Indian National Congress
i",6564,26/26,Result Declared
Bhubaneswar Central,112,ANANTA NARAYAN JENA,Biju Janata Dali,JAGANNATH PRADHAN,"Bharatiya Janata Party
i",37,17/17,Result Declared
Bhubaneswar North,113,SUSANT KUMAR ROUT,Biju Janata Dali,PRIYADARSHI MISHRA,"Bharatiya Janata Party
i",11343,22/22,Result Declared
Bijepur,2,SANAT KUMAR GARTIA,Bharatiya Janata Partyi,RITA SAHU,"Biju Janata Dal
i",10066,22/22,Result Declared
Binjharpur,48,PRAMILA MALLIK,Biju Janata Dali,BABITA MALLICK,"Bharatiya Janata Party
i",2856,20/20,Result Declared
Biramitrapur,10,ROHIT JOSEPH TIRKEY,Biju Janata Dali,SHANKAR ORAM,"Bharatiya Janata Party
i",6884,22/22,Result Declared
Birmaharajpur,64,RAGHUNATH JAGADALA,Bharatiya Janata Partyi,PADMANABHA BEHERA,"Biju Janata Dal
i",21946,23/23,Result Declared
Bissam Cuttack,139,NILAMADHAB HIKAKA,Indian National Congressi,JAGANNATH SARAKA,"Biju Janata Dal
i",9403,30/30,Result Declared
Bolangir,68,KALIKESH NARAYAN SINGH DEO,Biju Janata Dali,SAMARENDRA MISHRA,"Indian National Congress
i",13409,20/20,Result Declared
Bonai,14,LAXMAN MUNDA,Communist Party of India  (Marxist)i,BHIMSEN CHOUDHURY,"Biju Janata Dal
i",23439,23/23,Result Declared
Boudh,86,SAROJ KUMAR PRADHAN,Bharatiya Janata Partyi,PRADIP KUMAR AMAT,"Biju Janata Dal
i",2765,17/17,Result Declared
Brahmagiri,108,UPASNA MOHAPATRA,Bharatiya Janata Partyi,UMAKANTA SAMANTARAY,"Biju Janata Dal
i",9830,28/28,Result Declared
Brajarajnagar,6,SURESH PUJARI,Bharatiya Janata Partyi,ALAKA MOHANTY,"Biju Janata Dal
i",26789,19/19,Result Declared
Champua,25,SANATAN MAHAKUD,Biju Janata Dali,MURALI MANOHAR SHARMA,"Bharatiya Janata Party
i",39994,19/19,Result Declared
Chandabali,47,BYOMAKESH RAY,Biju Janata Dali,MANMOHAN SAMAL,"Bharatiya Janata Party
i",1916,20/20,Result Declared
Chhatrapur,127,KRUSHNA CHANDRA NAYAK,Bharatiya Janata Partyi,SUBASH CHANDRA BEHERA,"Biju Janata Dal
i",11438,19/19,Result Declared
Chhendipada,62,AGASTI BEHERA,Bharatiya Janata Partyi,SUSANTA KUMAR BEHERA,"Biju Janata Dal
i",15063,20/20,Result Declared
Chikiti,135,MANORANJAN DYAN SAMANTARA,Bharatiya Janata Partyi,CHINMAYANANDA SRIRUP DEB,"Biju Janata Dal
i",6522,18/18,Result Declared
Chilika,118,PRITHIVIRAJ HARICHANDAN,Bharatiya Janata Partyi,RAGHUNATH SAHU,"Biju Janata Dal
i",4566,18/18,Result Declared
Chitrakonda,147,MANGU KHILLA,Indian National Congressi,DAMBARU SISA,"Bharatiya Janata Party
i",9159,31/31,Result Declared
Choudwar-Cuttack,91,SOUVIC BISWAL,Biju Janata Dali,NAYAN KISHORE MOHANTY,"Bharatiya Janata Party
i",17816,22/22,Result Declared
